Sura;Aya;Bagian;Arabic;Transliteration;Transcript
2;42;1;وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَاَنْتُمْ تَعْلَمُوْنَ;wa lā talbisul-ḥaqqa bil-bāṭili wa taktumul-ḥaqqa wa antum ta'lamụn;wa lā tal bi sul ḥaq qa bil bā ṭi li wa tak tu mul ḥaq qa wa an tum ta' la mụn
2;43;1;وَاَقِيْمُوا الصَّلٰوةَ وَاٰتُوا الزَّكٰوةَ وَارْكَعُوْا مَعَ الرَّاكِعِيْنَ;wa aqīmuṣ-ṣalāta wa ātuz-zakāta warka'ụ ma'ar-rāki'īn;wa a qī muṣ ṣa lā ta wa ā tuz za kā ta war ka 'ụ ma 'ar rā ki 'īn
2;44;1;۞ اَتَأْمُرُوْنَ النَّاسَ بِالْبِرِّ وَتَنْسَوْنَ اَنْفُسَكُمْ; ta`murụnan-nāsa bil-birri wa tansauna anfusaku;a ta` mu rụ nan nā sa bil bir ri wa tan sau na an fu sa ku
2;44;2;وَاَنْتُمْ تَتْلُوْنَ الْكِتٰبَ ۗ اَفَلَا تَعْقِلُوْنَ;wa antum tatlụnal-kitāb, a fa lā ta'qil;m wa an tum tat lụ nal ki tāb , a fa lā ta' qi l
2;45;1;وَاسْتَعِيْنُوْا بِالصَّبْرِ وَالصَّلٰوةِ ۗ وَاِنَّهَا لَكَبِيْرَةٌ اِلَّا عَلَى الْخٰشِعِيْنَۙ;wasta'īnụ biṣ-ṣabri waṣ-ṣalāh, wa innahā lakabīratun illā 'alal-khāsyi'īn;was ta 'ī nụ biṣ ṣab ri waṣ ṣa lāh , wa in na hā la ka bī ra tun il lā 'a lal khā syi 'īn
2;46;1;الَّذِيْنَ يَظُنُّوْنَ اَنَّهُمْ مُّلٰقُوْا رَبِّهِمْ وَاَنَّهُمْ اِلَيْهِ رٰجِعُوْنَ ࣖ;allażīna yaẓunnụna annahum mulāqụ rabbihim wa annahum ilaihi rāji'ụn;al la żī na ya ẓun nụ na an na hum mu lā qụ rab bi him wa an na hum i lai hi rā ji 'ụn
2;47;1;يٰبَنِيْٓ اِسْرَاۤءِيْلَ اذْكُرُوْا نِعْمَتِيَ الَّتِيْٓ اَنْعَمْتُ;yā banī isrā`īlażkurụ ni'matiyallatī an'amtu ;yā ba nī is rā `ī laż ku rụ ni' ma ti yal la tī an 'am tu
2;47;2;عَلَيْكُمْ وَاَنِّيْ فَضَّلْتُكُمْ عَلَى الْعٰلَمِيْنَ;'alaikum wa annī faḍḍaltukum 'alal-'ālamīn;u 'a lai kum wa an nī faḍ ḍal tu kum 'a lal 'ā la mīn
2;48;1;وَاتَّقُوْا يَوْمًا لَّا تَجْزِيْ نَفْسٌ عَنْ نَّفْسٍ شَيْـًٔا وَّلَا يُقْبَلُ;wattaqụ yaumal lā tajzī nafsun 'an nafsin syai`aw wa lā yuqbal;wat ta qụ yau mal lā taj zī naf sun 'an naf sin syai `aw wa lā yuq ba l
2;48;2;مِنْهَا شَفَاعَةٌ وَّلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَّلَا هُمْ يُنْصَرُوْنَ;min-hā syafā'atuw wa lā yu`khażu min-hā 'adluw wa lā hum yunṣa;u min hā sya fā 'a tuw wa lā yu` kha żu min hā 'ad luw wa lā hum yun ṣa
2;49;1;وَاِذْ نَجَّيْنٰكُمْ مِّنْ اٰلِ فِرْعَوْنَ يَسُوْمُوْنَكُمْ سُوْۤءَ;wa iż najjainākum min āli fir'auna yasụmụnakum sū`a;wa iż naj jai nā kum min ā li fir 'au na ya sụ mụ na kum sū `a
2;49;2;الْعَذَابِ يُذَبِّحُوْنَ اَبْنَاۤءَكُمْ وَيَسْتَحْيُوْنَ نِسَاۤءَكُمْ;al-'ażābi yużabbiḥụna abnā`akum wa yastaḥyụna nisā`akum;`al 'a żā bi yu żab bi ḥụ na ab nā `a kum wa yas taḥ yụ na ni sā `a kum
2;49;3;ۗ وَفِيْ ذٰلِكُمْ بَلَاۤءٌ مِّنْ رَّبِّكُمْ عَظِيْمٌ;m, wa fī żālikum balā`um mir rabbikum 'aẓīm;um , wa fī żā li kum ba lā `um mir rab bi kum 'a ẓīm
2;50;1;وَاِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَاَنْجَيْنٰكُمْ وَاَغْرَقْنَآ اٰلَ فِرْعَوْنَ وَاَنْتُمْ تَنْظُرُوْنَ;wa iż faraqnā bikumul-baḥra fa anjainākum wa agraqnā āla fir'auna wa antum tanẓurụn;wa iż fa raq nā bi ku mul baḥ ra fa an jai nā kum wa ag raq nā ā la fir 'au na wa an tum tan ẓu rụn
2;51;1;وَاِذْ وٰعَدْنَا مُوْسٰىٓ اَرْبَعِيْنَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ;wa iż wā'adnā mụsā arba'īna lailatan ṡummattakhażtumu;wa iż wā 'ad nā mụ sā ar ba 'ī na lai la tan ṡum mat ta khaż tu mu
2;51;2;الْعِجْلَ مِنْۢ بَعْدِهٖ وَاَنْتُمْ ظٰلِمُوْنَ;l-'ijla mim ba'dihī wa antum ẓālimụn;ul 'ij la mim ba' di hī wa an tum ẓā li mụn
2;52;1;ثُمَّ عَفَوْنَا عَنْكُمْ مِّنْۢ بَعْدِ ذٰلِكَ لَعَلَّكُمْ تَشْكُرُوْنَ;ṡumma 'afaunā 'angkum mim ba'di żālika la'allakum tasykurụn;ṡum ma 'a fau nā 'ang kum mim ba' di żā li ka la 'al la kum tasy ku rụn
2;53;1;وَاِذْ اٰتَيْنَا مُوْسَى الْكِتٰبَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُوْنَ;wa iż ātainā mụsal-kitāba wal-furqāna la'allakum tahtadụn;wa iż ā tai nā mụ sal ki tā ba wal fur qā na la 'al la kum tah ta dụn
2;54;1;وَاِذْ قَالَ مُوْسٰى لِقَوْمِهٖ يٰقَوْمِ اِنَّكُمْ ظَلَمْتُمْ اَنْفُسَكُمْ;iż qāla mụsā liqaumihī yā qaumi innakum ẓalamtum anfusakum;a iż qā la mụ sā li qau mi hī yā qau mi in na kum ẓa lam tum an fu sa kum
2;54;2;بِاتِّخَاذِكُمُ الْعِجْلَ فَتُوْبُوْٓا اِلٰى بَارِىِٕكُمْ فَاقْتُلُوْٓا;bittikhāżikumul-'ijla fa tụbū ilā bāri`ikum faqtul;m bit ti khā żi ku mul 'ij la fa tụ bū i lā bā ri `i kum faq tu l
2;54;3;اَنْفُسَكُمْۗ ذٰلِكُمْ خَيْرٌ لَّكُمْ عِنْدَ بَارِىِٕكُمْۗ فَتَابَ;anfusakum, żālikum khairul lakum 'inda bāri`ikum, fa t;ū an fu sa kum , żā li kum khai rul la kum 'in da bā ri `i kum , fa t
2;54;4;عَلَيْكُمْ ۗ اِنَّهٗ هُوَ التَّوَّابُ الرَّحِيْمُ;'alaikum, innahụ huwat-tawwābur-raḥī;a 'a lai kum , in na hụ hu wat taw wā bur ra ḥī
2;55;1;وَاِذْ قُلْتُمْ يٰمُوْسٰى لَنْ نُّؤْمِنَ لَكَ حَتّٰى نَرَى اللّٰهَ; iż qultum yā mụsā lan nu`mina laka ḥattā narallāha;a iż qul tum yā mụ sā lan nu` mi na la ka ḥat tā na rall llā
2;55;2;جَهْرَةً فَاَخَذَتْكُمُ الصّٰعِقَةُ وَاَنْتُمْ تَنْظُرُوْنَ; jahratan fa akhażatkumuṣ-ṣā'iqatu wa antum tanẓurụn;a jah ra tan fa a kha żat ku muṣ ṣā 'i qa tu wa an tum tan ẓu rụn
2;56;1;ثُمَّ بَعَثْنٰكُمْ مِّنْۢ بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُوْنَ;ṡumma ba'aṡnākum mim ba'di mautikum la'allakum tasykurụn;ṡum ma ba 'aṡ nā kum mim ba' di mau ti kum la 'al la kum tasy ku rụn
2;57;1;وَظَلَّلْنَا عَلَيْكُمُ الْغَمَامَ وَاَنْزَلْنَا عَلَيْكُمُ الْمَنَّ;ẓallalnā 'alaikumul-gamāma wa anzalnā 'alaikumul-manna;a ẓal lal nā 'a lai ku mul ga mā ma wa an zal nā 'a lai ku mul man na
2;57;2;وَالسَّلْوٰى ۗ كُلُوْا مِنْ طَيِّبٰتِ مَا رَزَقْنٰكُمْ ۗ وَمَا ظَلَمُوْنَا;salwā, kulụ min ṭayyibāti mā razaqnākum, wa mā ẓalamụnā;s sal wā , ku lụ min ṭay yi bā ti mā ra zaq nā kum , wa mā ẓa la mụ nā
2;57;3;وَلٰكِنْ كَانُوْٓا اَنْفُسَهُمْ يَظْلِمُوْنَ; wa lāking kānū anfusahum yaẓlim;ā wa lā king kā nū an fu sa hum yaẓ li m
2;58;1;وَاِذْ قُلْنَا ادْخُلُوْا هٰذِهِ الْقَرْيَةَ فَكُلُوْا مِنْهَا حَيْثُ;iż qulnadkhulụ hāżihil-qaryata fa kulụ min-hā ḥaiṡu;a iż qul nad khu lụ hā żi hil qar ya ta fa ku lụ min hā ḥai ṡu
2;58;2;شِئْتُمْ رَغَدًا وَّادْخُلُوا الْبَابَ سُجَّدًا وَّقُوْلُوْا حِطَّةٌ;syi`tum ragadaw wadkhulul-bāba sujjadaw wa qụlụ ḥiṭṭat;u syi` tum ra ga daw wad khu lul bā ba suj ja daw wa qụ lụ ḥiṭ ṭa t
2;58;3;نَّغْفِرْ لَكُمْ خَطٰيٰكُمْ ۗ وَسَنَزِيْدُ الْمُحْسِنِيْنَ;nagfir lakum khaṭāyākum, wa sanazīdul-muḥsin;n nag fir la kum kha ṭā yā kum , wa sa na zī dul muḥ si n
2;59;1;فَبَدَّلَ الَّذِيْنَ ظَلَمُوْا قَوْلًا غَيْرَ الَّذِيْ قِيْلَ لَهُمْ فَاَنْزَلْنَا;fa baddalallażīna ẓalamụ qaulan gairallażī qīla lahum fa anzaln;fa bad da lal la żī na ẓa la mụ qau lan gai ral la żī qī la la hum fa an zal n
2;59;2;عَلَى الَّذِيْنَ ظَلَمُوْا رِجْزًا مِّنَ السَّمَاۤءِ بِمَا كَانُوْا يَفْسُقُوْنَ ࣖ;nā 'alallażīna ẓalamụ rijzam minas-samā`i bimā kānụ yafsuqụn;l nā 'a lal la żī na ẓa la mụ rij zam mi nas sa mā `i bi mā kā nụ yaf su qụn
2;60;1;۞ وَاِذِ اسْتَسْقٰى مُوْسٰى لِقَوْمِهٖ فَقُلْنَا اضْرِبْ بِّعَصَاكَ الْحَجَرَۗ فَانْفَجَرَتْ;a iżistasqā mụsā liqaumihī fa qulnaḍrib bi'aṣākal-ḥajar, fanfajarat;wa i żis tas qā mụ sā li qau mi hī fa qul naḍ rib bi 'a ṣā kal ḥa jar , fan fa ja rat
2;60;2;مِنْهُ اثْنَتَا عَشْرَةَ عَيْنًا ۗ قَدْ عَلِمَ كُلُّ اُنَاسٍ مَّشْرَبَهُمْ ۗ كُلُوْا وَاشْرَبُوْا;min-huṡnatā 'asyrata 'ainā, qad 'alima kullu unāsim masyrabahum, kulụ wasyrab;t min huṡ na tā 'asy ra ta 'ai nā , qad 'a li ma kul lu u nā sim masy ra ba hum , ku lụ wasy ra b
2;60;3;مِنْ رِّزْقِ اللّٰهِ وَلَا تَعْثَوْا فِى الْاَرْضِ مُفْسِدِيْنَ;mir rizqillāhi wa lā ta'ṡau fil-arḍi mufsidī;ụ mir riz qil lā hi wa lā ta' ṡau fil ar ḍi muf si dī
2;61;1;وَاِذْ قُلْتُمْ يٰمُوْسٰى لَنْ نَّصْبِرَ عَلٰى طَعَامٍ وَّاحِدٍ فَادْعُ لَنَا رَبَّكَ يُخْرِجْ لَنَا مِمَّا تُنْۢبِتُ الْاَرْضُ مِنْۢ بَقْلِهَا; iż qultum yā mụsā lan naṣbira 'alā ṭa'āmiw wāḥidin fad'u lanā rabbaka yukhrij lanā mimmā tumbitul-arḍu mim baqlihā;a iż qul tum yā mụ sā lan naṣ bi ra 'a lā ṭa 'ā miw wā ḥi din fad 'u la nā rab ba ka yukh rij la nā mim mā tum bi tul ar ḍu mim baq li hā
2;61;2;وَقِثَّاۤىِٕهَا وَفُوْمِهَا وَعَدَسِهَا وَبَصَلِهَا ۗ قَالَ اَتَسْتَبْدِلُوْنَ الَّذِيْ هُوَ اَدْنٰى بِالَّذِيْ هُوَ خَيْرٌ ۗ اِهْبِطُوْا مِصْرًا;qiṡṡā`ihā wa fụmihā wa 'adasihā wa baṣalihā, qāla a tastabdilụnallażī huwa adnā billażī huwa khaīr, ihbiṭụ miṣr;a qiṡ ṡā `i hā wa fụ mi hā wa 'a da si hā wa ba ṣa li hā , qā la a tas tab di lụ nal la żī hu wa ad nā bil la żī hu wa khaīr , ih bi ṭụ miṣ r
2;61;3;فَاِنَّ لَكُمْ مَّا سَاَلْتُمْ ۗ وَضُرِبَتْ عَلَيْهِمُ الذِّلَّةُ وَالْمَسْكَنَةُ وَبَاۤءُوْ بِغَضَبٍ مِّنَ اللّٰهِ ۗ ذٰلِكَ بِاَنَّهُمْ كَانُوْا;inna lakum mā sa`altum, wa ḍuribat 'alaihimuż-żillatu wal-maskanatu wa bā`ụ bigaḍabim minallāh, żālika bi`annahum kā;a in na la kum mā sa `al tum , wa ḍu ri bat 'a lai hi muż żil la tu wal mas ka na tu wa bā `ụ bi ga ḍa bim mi nall llāh , żā li ka bi `an na hum
2;61;4;يَكْفُرُوْنَ بِاٰيٰتِ اللّٰهِ وَيَقْتُلُوْنَ النَّبِيّٖنَ بِغَيْرِ الْحَقِّ ۗ ذٰلِكَ بِمَا عَصَوْا وَّكَانُوْا يَعْتَدُوْنَ ࣖ;yakfurụna bi`āyātillāhi wa yaqtulụnan-nabiyyīna bigairil-ḥaqq, żālika bimā 'aṣaw wa kānụ ya'ta;ụ yak fu rụ na bi `ā yā til lā hi wa yaq tu lụ nan na biy yī na bi gai ril ḥaqq , żā li ka bi mā 'a ṣaw wa kā nụ ya' ta
2;62;1;اِنَّ الَّذِيْنَ اٰمَنُوْا وَالَّذِيْنَ هَادُوْا وَالنَّصٰرٰى وَالصَّابِــِٕيْنَ;nallażīna āmanụ wallażīna hādụ wan-naṣārā waṣ-ṣābi`īn;n nal la żī na ā ma nụ wal la żī na hā dụ wan na ṣā rā waṣ ṣā bi `ī n
2;62;2;مَنْ اٰمَنَ بِاللّٰهِ وَالْيَوْمِ الْاٰخِرِ وَعَمِلَ صَالِحًا فَلَهُمْ اَجْرُهُمْ;man āmana billāhi wal-yaumil-ākhiri wa 'amila ṣāliḥan fa lahum ajr;a man ā ma na bil lā hi wal yau mil ā khi ri wa 'a mi la ṣā li ḥan fa la hum aj r
2;62;3;عِنْدَ رَبِّهِمْۚ وَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُوْنَ;'inda rabbihim, wa lā khaufun 'alaihim wa lā hum yaḥzan;m 'in da rab bi him , wa lā khau fun 'a lai him wa lā hum yaḥ za n
2;63;1;وَاِذْ اَخَذْنَا مِيْثَاقَكُمْ وَرَفَعْنَا فَوْقَكُمُ الطُّوْرَۗ خُذُوْا مَآ; iż akhażnā mīṡāqakum wa rafa'nā fauqakumuṭ-ṭụr, khużụ mā ;a iż a khaż nā mī ṡā qa kum wa ra fa' nā fau qa ku muṭ ṭụr , khu żụ mā
2;63;2;اٰتَيْنٰكُمْ بِقُوَّةٍ وَّاذْكُرُوْا مَا فِيْهِ لَعَلَّكُمْ تَتَّقُوْنَ;ātainākum biquwwatiw ważkurụ mā fīhi la'allakum tattaqụn;ā ā tai nā kum bi quw wa tiw waż ku rụ mā fī hi la 'al la kum tat ta qụn
2;64;1;ثُمَّ تَوَلَّيْتُمْ مِّنْۢ بَعْدِ ذٰلِكَ فَلَوْلَا فَضْلُ اللّٰهِ;ṡumma tawallaitum mim ba'di żālika falau lā faḍlullāh;ṡum ma ta wal lai tum mim ba' di żā li ka fa lau lā faḍ lull ll
2;64;2;عَلَيْكُمْ وَرَحْمَتُهٗ لَكُنْتُمْ مِّنَ الْخٰسِرِيْنَ;'alaikum wa raḥmatuhụ lakuntum minal-khāsir;i 'a lai kum wa raḥ ma tu hụ la kun tum mi nal khā si r
2;65;1;وَلَقَدْ عَلِمْتُمُ الَّذِيْنَ اعْتَدَوْا مِنْكُمْ فِى السَّبْتِ;wa laqad 'alimtumullażīna'tadau mingkum fis-sabt;wa la qad 'a lim tu mul la żī na' ta dau ming kum fis sab t
2;65;2;فَقُلْنَا لَهُمْ كُوْنُوْا قِرَدَةً خَاسِـِٕيْنَ;fa qulnā lahum kụnụ qiradatan khāsi`īn;i fa qul nā la hum kụ nụ qi ra da tan khā si `īn
2;66;1;فَجَعَلْنٰهَا نَكَالًا لِّمَا بَيْنَ يَدَيْهَا وَمَا خَلْفَهَا وَمَوْعِظَةً لِّلْمُتَّقِيْنَ;fa ja'alnāhā nakālal limā baina yadaihā wa mā khalfahā wa mau'iẓatal lil-muttaqīn;fa ja 'al nā hā na kā lal li mā bai na ya dai hā wa mā khal fa hā wa mau 'i ẓa tal lil mut ta qīn
2;67;1;وَاِذْ قَالَ مُوْسٰى لِقَوْمِهٖٓ اِنَّ اللّٰهَ يَأْمُرُكُمْ اَنْ تَذْبَحُوْا بَقَرَةً ۗ قَالُوْٓا;wa iż qāla mụsā liqaumihī innallāha ya`murukum an tażbaḥụ baqarah, qālū;l llā ha ya` mu ru kum an taż ba ḥụ ba qa rah , qā lū a tat ta khi żu nā hu zu wā , qā la a
2;67;2;اَتَتَّخِذُنَا هُزُوًا ۗ قَالَ اَعُوْذُ بِاللّٰهِ اَنْ اَكُوْنَ مِنَ الْجٰهِلِيْنَ;tattakhiżunā huzuwā, qāla a'ụżu billāhi an akụna minal-jāhilīn;a tat ta khi żu nā hu zu wā , qā la a 'ụ żu bil lā hi an a kụ na mi nal jā hi līn
2;68;1;قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّنْ لَّنَا مَا هِيَ ۗ قَالَ اِنَّهٗ يَقُوْلُ اِنَّهَا بَقَرَةٌ;qālud'u lanā rabbaka yubayyil lanā mā hiy, qāla innahụ yaqụlu innahā baqaratul;qā lud 'u la nā rab ba ka yu bay yil la nā mā hiy , qā la in na hụ ya qụ lu in na hā ba qa ra tul
2;68;2;لَّا فَارِضٌ وَّلَا بِكْرٌۗ عَوَانٌۢ بَيْنَ ذٰلِكَ ۗ فَافْعَلُوْا مَا تُؤْمَرُوْنَ; lā fāriḍuw wa lā bikr, 'awānum baina żālik, faf'alụ mā tu`marụn;l lā fā ri ḍuw wa lā bikr , 'a wā num bai na żā lik , faf 'a lụ mā tu` ma rụn
2;69;1;قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّنْ لَّنَا مَا لَوْنُهَا ۗ قَالَ اِنَّهٗ يَقُوْلُ;qālud'u lanā rabbaka yubayyil lanā mā launuhā, qāla innahụ yaqụl;qā lud 'u la nā rab ba ka yu bay yil la nā mā lau nu hā , qā la in na hụ ya qụ l
2;69;2;اِنَّهَا بَقَرَةٌ صَفْرَاۤءُ فَاقِعٌ لَّوْنُهَا تَسُرُّ النّٰظِرِيْنَ; innahā baqaratun ṣafrā`u fāqi'ul launuhā tasurrun-nāẓirīn;u in na hā ba qa ra tun ṣaf rā `u fā qi 'ul lau nu hā ta sur run nā ẓi rīn
2;70;1;قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّنْ لَّنَا مَا هِيَۙ اِنَّ الْبَقَرَ;qālud'u lanā rabbaka yubayyil lanā mā hiya innal-baqara;qā lud 'u la nā rab ba ka yu bay yil la nā mā hi ya in nal ba qa ra
2;70;2;تَشٰبَهَ عَلَيْنَاۗ وَاِنَّآ اِنْ شَاۤءَ اللّٰهُ لَمُهْتَدُوْنَ;tasyābaha 'alainā, wa innā in syā`allāhu lamuhtadụn;a ta syā ba ha 'a lai nā , wa in nā in syā `all llā hu la muh ta d
2;71;1;قَالَ اِنَّهٗ يَقُوْلُ اِنَّهَا بَقَرَةٌ لَّا ذَلُوْلٌ تُثِيْرُ الْاَرْضَ;qāla innahụ yaqụlu innahā baqaratul lā żalụlun tuṡīrul-ar;qā la in na hụ ya qụ lu in na hā ba qa ra tul lā ża lụ lun tu ṡī rul ar
2;71;2;وَلَا تَسْقِى الْحَرْثَۚ مُسَلَّمَةٌ لَّاشِيَةَ فِيْهَا ۗ قَالُوا الْـٰٔنَ;wa lā tasqil-ḥarṡ, musallamatul lā syiyata fīhā, qālul;a wa lā tas qil ḥarṡ , mu sal la ma tul lā syi ya ta fī hā , qā lul
2;71;3;جِئْتَ بِالْحَقِّ فَذَبَحُوْهَا وَمَا كَادُوْا يَفْعَلُوْنَ ࣖ; ji`ta bil-ḥaqqi fa żabaḥụhā wa mā kādụ yaf'al;a ji` ta bil ḥaq qi fa ża ba ḥụ hā wa mā kā dụ yaf 'a l
2;72;1;وَاِذْ قَتَلْتُمْ نَفْسًا فَادّٰرَءْتُمْ فِيْهَا ۗ وَاللّٰهُ مُخْرِجٌ مَّا كُنْتُمْ تَكْتُمُوْنَ ۚ;wa iż qataltum nafsan faddāra'tum fīhā, wallāhu mukhrijum mā kuntum taktumụn;wa iż qa tal tum naf san fad dā ra' tum fī hā , wall llā hu mukh ri jum mā kun tum tak tu m
2;73;1;فَقُلْنَا اضْرِبُوْهُ بِبَعْضِهَاۗ كَذٰلِكَ يُحْيِ اللّٰهُ;fa qulnaḍribụhu biba'ḍihā, każālika yuḥyillāh;fa qul naḍ ri bụ hu bi ba' ḍi hā , ka żā li ka yuḥ yil lā h
2;73;2;الْمَوْتٰى وَيُرِيْكُمْ اٰيٰتِهٖ لَعَلَّكُمْ تَعْقِلُوْنَ;ul-mautā wa yurīkum āyātihī la'allakum ta'qil;hul mau tā wa yu rī kum ā yā ti hī la 'al la kum ta' qi l
2;74;1;ثُمَّ قَسَتْ قُلُوْبُكُمْ مِّنْۢ بَعْدِ ذٰلِكَ فَهِيَ كَالْحِجَارَةِ اَوْ اَشَدُّ;ṡumma qasat qulụbukum mim ba'di żālika fa hiya kal-ḥijārati au asyad;ṡum ma qa sat qu lụ bu kum mim ba' di żā li ka fa hi ya kal ḥi jā ra ti au a syad
2;74;2;قَسْوَةً ۗ وَاِنَّ مِنَ الْحِجَارَةِ لَمَا يَتَفَجَّرُ مِنْهُ الْاَنْهٰرُ ۗ وَاِنَّ;qaswah, wa inna minal-ḥijārati lamā yatafajjaru min-hul-an-hār, wa;u qas wah , wa in na mi nal ḥi jā ra ti la mā ya ta faj ja ru min hul an hār , wa
2;74;3;مِنْهَا لَمَا يَشَّقَّقُ فَيَخْرُجُ مِنْهُ الْمَاۤءُ ۗوَاِنَّ مِنْهَا لَمَا يَهْبِطُ;hā lamā yasysyaqqaqu fa yakhruju min-hul-mā`, wa inna min-hā lamā yahbiṭ;n hā la mā yasy syaq qa qu fa yakh ru ju min hul mā` , wa in na min hā la mā yah bi ṭ
